2026-05-16 14:52:04.278 | WARNING  | app.api.routes.auth:decode_access_token:38 - JWT validation failed: Signature has expired
2026-05-16 14:52:12.452 | WARNING  | app.api.routes.auth:decode_access_token:38 - JWT validation failed: Signature has expired
2026-05-16 14:52:28.911 | WARNING  | app.api.routes.auth:decode_access_token:38 - JWT validation failed: Signature has expired
2026-05-16 14:53:13.735 | WARNING  | app.api.routes.auth:decode_access_token:38 - JWT validation failed: Signature has expired
2026-05-16 14:57:16.877 | INFO     | app.graph.nodes:analyze_style:18 - Node [analyze_style]: Processing correlation_id=None
2026-05-16 14:57:29.923 | INFO     | app.graph.nodes:create_plan:23 - Node [create_plan]: Creating transformation roadmap.
2026-05-16 14:57:29.927 | INFO     | app.graph.nodes:transform_content:33 - Node [transform_content]: Iteration 0
2026-05-16 14:57:34.958 | INFO     | app.agents.conversion_agent:transform:55 - Conversion Agent Completed
2026-05-16 14:57:34.959 | INFO     | app.agents.conversion_agent:transform:57 - AGENT_TIME | Conversion Agent | 5.0313 seconds
2026-05-16 14:57:34.962 | INFO     | app.graph.nodes:verify_output:39 - Node [verify_output]: Validating factual consistency.
2026-05-16 14:57:34.962 | INFO     | app.services.rag_service:verify_factual_consistency:69 - [RAG] Verifying factual consistency for content...
2026-05-16 14:57:46.244 | INFO     | app.services.rag_service:verify_factual_consistency:75 - SERVICE_TIME | RAG Fact Check | 11.2816 seconds
2026-05-16 14:57:58.829 | INFO     | app.agents.quality_control_agent:verify:86 - Quality Control Agent Completed
2026-05-16 14:57:58.830 | INFO     | app.agents.quality_control_agent:verify:88 - AGENT_TIME | Quality Control Agent | 23.8675 seconds
2026-05-16 14:57:58.830 | WARNING  | app.graph.nodes:verify_output:67 - METRIC | Transformation Failure | Iteration: 1 | Fact Score: 90 | Overall Score: 93.8
2026-05-16 14:57:58.831 | WARNING  | app.graph.nodes:verify_output:74 - METRIC | FAILURE | Low Quality Score: 93.8
2026-05-16 14:57:58.831 | WARNING  | app.graph.nodes:verify_output:80 - RETRY_TRIGGERED | Reason: Factual preservation score is low (90%). Reasoning: The transformed text preserves the core facts from the source: EVs reduce carbon emissions and improve energy efficiency in urban/city contexts. It omits the explicit qualifier "significantly," slightly weakening the original emphasis, and it adds two consequences — "cleaner air" and "smarter commutes" — that were not stated in the source (these may be plausible implications but are not in the original sentence). There are no clear distortions or factual reversals.
Detected unsupported claims in the transformed content.
2026-05-16 14:57:58.837 | INFO     | app.graph.nodes:transform_content:33 - Node [transform_content]: Iteration 1
